"candidate","decision","rationale"
"denied","retain","Direct expression of an adverse access decision; frequent and specific."
"denial*","retain","Captures denial and denial_letter; direct evidence of an access barrier."
"reject*","remove","Conceptually relevant but produced no matches in the final frozen DFM."
"paperwork","retain","Specific administrative-process language with observed matches."
"form","remove","Ambiguous stem matched format, former, formed, formula, and other unrelated forms."
"claim*","retain","KWIC review showed use overwhelmingly concerned VA claims navigation."
"appeal*","retain","Signals an adverse decision or repeated administrative action."
"wait*","retain","Captures wait and waiting; direct evidence of delay and unresolved processes."
"backlog*","remove","Theoretically relevant but produced no matches in the final frozen DFM."
"pending","remove","Only two KWIC matches and neither represented system fragmentation."
"delay*","remove","Theoretically relevant but produced no matches in the final frozen DFM."
"transfer*","retain","KWIC showed genuine routing failures and repeated transfers despite some unrelated uses."
"redirect*","remove","Produced no matches in the final frozen DFM."
"handoff*","remove","Produced no matches and reflected professional rather than participant language."
"runaround","remove","Highly specific but absent from the final frozen DFM."
"silo*","remove","Absent and more characteristic of researcher or policy terminology."
"red_tape","remove","Highly specific but absent from the final frozen DFM."
"misinform*","remove","Absent from the final frozen DFM."
"unresponsive","remove","Absent from the final frozen DFM."
"ghosted","remove","Absent from the final frozen DFM."
"resubmit*","remove","Only two KWIC occurrences; too rare to contribute meaningfully."
"reapply*","remove","Only one KWIC occurrence; too rare to contribute meaningfully."
"refile*","remove","Only two KWIC occurrences; too rare to contribute meaningfully."
